,id,lastFundingIndex,margin,lastPrice,size,account,marketKey
257,71896,284309,112230000000000001132,1268370000000000000000,88483644362449442,0x40aceaef476d82f3089fa16f7e6dc12a6871f943,sETH
75,167155,667568,105930000000000000225,1574822252210000000000,-67264734068460702,0x1d21cafe304aaf833a645edb74d2035d32f39a86,sETH
149,167249,668427,101320256560921952283,1569622851640000000000,96725689067670075,0xb2716745ae34b1d4be7e1c72b4bc847920828752,sETH
251,167546,669144,102560000000000000956,1567930000000000000000,-65411083402958040,0xfbc0216bde9ca3a5c7e17f205fde0dc0588fcde6,sETH
260,167381,670640,218900489183332277601,1577176315660000000000,138800000000000000,0xc59634837e4ebdc9bc02ca1972dbca1dd435c007,sETH
648,167811,670320,102490000000000000440,1583550500000000000000,64721649230637103,0x18a84c0577ed4923ada095d7086f586ae1be1abf,sETH
650,167816,670339,101000000000000000007,1583550500000000000000,-63780725654155014,0x14acf9d666b566f2805634516f014ccde4f1972d,sETH
69,166004,662910,50500000000000000633,1546745000000000000000,65298416998277026,0xd417f21077fdbc5eb0e3d0eb782fdd262b24f309,sETH
233,166203,663683,75000000000000000919,1542330000000000000000,97255451168037968,0x5933ef6e4394122a5faa58d25a5c94b6496fcbda,sETH
347,166329,664184,53999999999999999448,1543609030970000000000,69965903174415268,0x987b6db6fe741e98bb630f971ca69d693cc28a6a,sETH
362,166345,664253,103559999999999999435,1540760000000000000000,67213582907136737,0xaddf89ea6f59fbc62a82582506463b42b794f52f,sETH
382,166366,664313,108489386193516920004,1545239240350000000000,70316550865913097,0xc3a3ee3ee055bebb6136a444ee99963726c9bc41,sETH
508,166509,664903,118040000000000000843,1547075000000000000000,76298821970492703,0xec1a56eb310287b2fa41b96cb9a34df62506e790,sETH
595,166605,665288,100510000000000001234,1551100000000000000000,64799174779188962,0xad9d7bcb3e11ebebef96b72a47b11539caf64078,sETH
776,166806,666103,50000000000000000569,1589500000000000000000,-62912865681031770,0xb42caddc45f297d24ef359d677284c531235d313,sETH
869,166919,666603,118240000000000000333,1589530000000000000000,74386768415821028,0x176cb481792d9587df27c8602d5ccf8a86f23633,sETH
298,165190,659664,55333333333333334411,1545510000000000000000,107407910657323472,0xa7ab4c9a1af723956bcbdcb751990a51f491f564,sETH
343,165242,659871,113400000000000001003,1575920000000000000000,71957967409513173,0x3eed35e10b7293346f9ff8f2f793aa653ed1e8c4,sETH
375,165279,660016,101038758327469983474,1566830850000000000000,64350884346806667,0x9d26cedd686ee77532f4182243b500a301ce9816,sETH
589,165514,660940,58500000000000000492,1571853800000000000000,74434403504957013,0x0e6f467750a632fef8d46b397566c9774202937e,sETH
816,164648,657501,60499999999999999565,1549890000000000000000,78070056584660846,0xb092030231a6077af6109fc3589c4d9b11f64f16,sETH
643,112356,447367,102000000000000000011,1193850000000000000000,85437869079030028,0x2e18353d8a90ae2f36ee269bf0cfe19ea087ac21,sETH
951,112675,448651,60000000000000000605,1197790000000000000000,-50092253233037510,0xd919c3bf28ff3c3c57a4c275f139d98a505adc2f,sETH
737,111305,443129,50000000000000000348,1190265000000000000000,42007452122006443,0x29dfae10fbbf1abdddbe6430472a13ea82724a5e,sETH
674,110194,438666,100119999999999999381,1203931688690000000000,83160864474745018,0x0fa73b4bbd9727cb530fa1d0ef2b5560296a7f8f,sETH
402,108846,433223,103649999999999999826,1193850000000000000000,-86819952255308455,0xf680976bba7c285f2df1582af3757696347262c1,sETH
803,109284,434996,132000000000000000407,1187279606120000000000,-111178528898826698,0x38f250bacf1c72eb5c72cf559dbd94cf1c7d1fc4,sETH
503,107916,429432,50670000000000000001,1212050000000000000000,90755331875747700,0x255fe1463e93e2212b13de66b7acd99dbcbcb142,sETH
624,108039,429955,110000000000000000517,1207497078630000000000,91097528885787131,0xf16a85ebc3033b4f6f7db293027c27b3a7cf5dfc,sETH
19,103734,412640,50000000000000000143,1220611800000000000000,86022435634326982,0x7f6f8723e6c1f5fe7788310579a3f1650bd3b61c,sETH
433,104162,414352,100750000000000000306,1217688520310000000000,-82738728598961411,0x156b9e066682ba080762121434093030116face7,sETH
907,104665,416383,121000000000000000105,1221117238670000000000,99089584659200411,0xb7907c853170f1d78ab34fbbaf64f6047fe3bf64,sETH
278,99417,395162,100999999999999999685,1209521868090000000000,83504071042132355,0xc4e81c66097470c6393eabd872da5ff886fc51dc,sETH
878,100042,397711,108490000000000000145,1216646634170000000000,89171331225530578,0xbd6cbb3a066be4574648940a052e047aa7bba979,sETH
744,97799,388769,101000000000000001098,1214532209670000000000,83159589507669512,0xb2248a5bb87c96b546c11ae5b59b9f9f87242f2c,sETH
811,97867,389027,105299999999999999072,1211390300000000000000,86924915941625089,0x931a58002c6037f6921af126707ea56105f3784a,sETH
428,96404,383139,51624437100246914060,1216240000000000000000,83456790123456780,0xc1c5aa78e8654f6892078bf598be77d79ebb8f5f,sETH
730,69701,275482,50636266666666667882,1298370000000000000000,117069864522439674,0xa6068eff22f74098c4c3f939f25b4dff4e1936d5,sETH
273,68013,268608,63956862745098039289,1271060000000000000000,256620458514940286,0x57ab136e46be80913215aee7e9c71df888693d17,sETH
319,68071,268834,111980000000000000067,1267560000000000000000,88342958124270251,0x53fe67d8a1e83dcb7dcfb179ceeee746bd026d5f,sETH
748,68559,270799,51000000000000000443,1256678321010000000000,40583178007726742,0x0939453018b40ee271183e453a71695df135052b,sETH
245,66854,263958,108000000000000000222,1279210000000000000000,-84427107355320862,0x653c2fadf62af8180ab16965cc4532e8f63aec96,sETH
737,66293,261643,107000000000000000437,1271900000000000000000,84126110543281704,0x270960e2782835abc39ed907abf05b220a92dc29,sETH
970,65392,258023,58500606936641255589,1280496300000000000000,91222701931749418,0x76d476e4578400662b4e6a766bfeaca5c9d7910b,sETH
993,72309,285956,60000000000000000492,1225600000000000000000,97911227154046997,0xc32698e9f275e332910d7f5433a561a4b75fd417,sETH
231,63286,249395,100560000000000001209,1205255000000000000000,83434625867554998,0xce6483e57d90e008617fef450d4717048307e64d,sETH
722,62621,246620,109000000000000000337,1167790000000000000000,93338699594961422,0xead1ea9f5178525869d22e90b6fc7d6c654e8838,sETH
8,60567,238228,52212500000000000344,1221450000000000000000,102591182610831388,0x6fcc1c3f969eae3ea0356237abe8106963b738c3,sETH
285,60893,239551,53008733624454149446,1212695000000000000000,100099365462874012,0xfa85f3556ca7486dc0d4089732bc6ef99c44771b,sETH
317,60938,239728,52255355063595051091,1213707237730000000000,107780775354965390,0x1b0891ccaf0b714d555f5247b2d10ddb56c3cc6a,sETH
500,61197,240793,51666666666666667192,1214720000000000000000,102081138040042149,0x4da2127d6cdab9e240be2dc1c85248e0f9c654a3,sETH
631,61345,241384,52297872340425532285,1215811111590000000000,101084781039116510,0x6661e0d3a442f30014ebfea5eba56edda1d8bb5e,sETH
